iter	Passed	Remaining
405	7667	7440
406	7685	7421
407	7702	7400
408	7720	7380
409	7738	7361
410	7755	7339
411	7773	7320
412	7789	7298
413	7804	7276
414	7819	7254
415	7834	7232
416	7848	7208
417	7862	7185
418	7877	7163
419	7894	7142
420	7910	7121
421	7927	7100
422	7942	7078
423	7957	7057
424	7973	7035
425	7989	7014
426	8007	6994
427	8024	6974
428	8043	6956
429	8059	6934
430	8077	6915
431	8094	6895
432	8110	6874
433	8127	6853
434	8143	6832
435	8161	6813
436	8184	6798
437	8206	6782
438	8227	6765
439	8250	6750
440	8271	6733
441	8295	6718
442	8320	6705
443	8343	6690
444	8362	6670
445	8385	6655
446	8407	6639
447	8431	6624
448	8460	6613
449	8487	6601
450	8512	6587
451	8529	6567
452	8545	6545
453	8561	6525
454	8579	6505
455	8596	6485
456	8613	6464
457	8630	6444
458	8652	6428
459	8673	6410
460	8694	6393
461	8712	6374
462	8729	6354
463	8745	6333
464	8762	6312
465	8778	6292
466	8794	6271
467	8810	6250
468	8825	6228
469	8841	6207
470	8857	6187
471	8873	6166
472	8887	6144
473	8902	6123
474	8917	6101
475	8933	6080
476	8949	6060
477	8967	6040
478	8985	6021
479	9001	6000
480	9018	5980
481	9034	5960
482	9050	5939
483	9067	5920
484	9085	5900
485	9102	5881
486	9117	5859
487	9132	5838
488	9148	5818
489	9164	5798
490	9180	5777
491	9196	5756
492	9211	5736
493	9226	5715
494	9241	5694
495	9256	5673
496	9273	5653
497	9289	5633
498	9304	5612
499	9320	5592
500	9337	5572
501	9354	5552
502	9370	5533
503	9386	5512
504	9402	5492
505	9418	5472
506	9434	5452
507	9450	5432
508	9466	5412
509	9483	5392
510	9499	5372
511	9515	5352
512	9530	5331
513	9545	5311
514	9561	5291
515	9577	5271
516	9591	5250
517	9606	5230
518	9623	5210
519	9639	5190
520	9657	5171
521	9674	5152
522	9690	5132
523	9710	5114
524	9728	5096
525	9747	5077
526	9762	5057
527	9776	5036
528	9790	5015
529	9807	4996
530	9823	4976
531	9838	4956
532	9854	4936
533	9871	4917
534	9886	4896
535	9901	4877
536	9918	4857
537	9933	4837
538	9948	4817
539	9964	4797
540	9980	4777
541	9994	4757
542	10008	4737
543	10025	4717
544	10039	4697
545	10056	4678
546	10070	4658
547	10086	4638
548	10101	4618
549	10116	4598
550	10131	4578
551	10148	4559
552	10163	4539
553	10178	4519
554	10198	4501
555	10234	4491
556	10255	4473
557	10277	4457
558	10298	4440
559	10319	4422
560	10342	4406
561	10363	4388
562	10386	4372
563	10407	4355
564	10429	4338
565	10448	4319
566	10470	4302
567	10496	4287
568	10520	4270
569	10538	4252
570	10553	4232
571	10568	4212
572	10585	4193
573	10600	4173
574	10616	4154
575	10635	4135
576	10651	4116
577	10668	4097
578	10686	4079
579	10704	4060
580	10721	4041
581	10740	4022
582	10757	4004
583	10774	3985
584	10792	3966
585	10807	3946
586	10823	3927
587	10838	3907
588	10854	3888
589	10870	3869
590	10886	3849
591	10901	3830
592	10916	3810
593	10931	3791
594	10946	3771
595	10960	3751
596	10976	3732
597	10992	3713
598	11008	3694
599	11025	3675
600	11041	3656
601	11057	3636
602	11073	3617
603	11090	3598
604	11107	3580
605	11124	3561
606	11141	3542
607	11159	3523
608	11174	3504
609	11192	3486
610	11207	3466
611	11223	3447
612	11239	3428
613	11257	3410
614	11273	3391
615	11290	3372
616	11306	3353
617	11323	3334
618	11339	3315
619	11356	3297
620	11373	3278
621	11391	3259
622	11409	3241
623	11426	3222
624	11441	3203
625	11457	3184
626	11474	3166
627	11489	3146
628	11504	3127
629	11519	3108
630	11535	3089
631	11549	3070
632	11563	3050
633	11578	3031
634	11593	3012
635	11608	2993
636	11626	2974
637	11644	2956
638	11659	2937
639	11677	2919
640	11693	2900
641	11711	2882
642	11730	2864
643	11746	2845
644	11762	2826
645	11777	2807
646	11793	2788
647	11811	2770
648	11828	2752
649	11847	2734
650	11864	2715
651	11881	2697
652	11899	2678
653	11916	2660
654	11933	2641
655	11955	2624
656	11974	2606
657	11990	2587
