iter	RMSE
0	22.96962944
1	22.75661531
2	22.55252578
3	22.38675901
4	22.21229314
5	22.02107668
6	21.82334855
7	21.63656837
8	21.47376005
9	21.32401258
10	21.16401518
11	21.03202316
12	20.90381952
13	20.77154631
14	20.64336465
15	20.50573631
16	20.39379385
17	20.27722153
18	20.17794467
19	20.07038353
20	19.96938839
21	19.87834037
22	19.77344381
23	19.68982695
24	19.60669213
25	19.52535128
26	19.45182787
27	19.37669886
28	19.30075315
29	19.21565052
30	19.1240696
31	19.04277431
32	18.98571822
33	18.90580305
34	18.82589199
35	18.76807485
36	18.70898311
37	18.64620074
38	18.57562992
39	18.51059216
40	18.46665858
41	18.41423451
42	18.36212971
43	18.31518813
44	18.25898064
45	18.20731598
46	18.16730824
47	18.1209109
48	18.07294135
49	18.03505328
50	17.98782654
51	17.94478753
52	17.89802194
53	17.8528754
54	17.81528183
55	17.77731447
56	17.73577229
57	17.69452713
58	17.6584778
59	17.62240482
60	17.58995621
61	17.55159826
62	17.5237569
63	17.49289647
64	17.46035866
65	17.43227115
66	17.40323231
67	17.38076586
68	17.34973195
69	17.32390521
70	17.29749474
71	17.26871474
72	17.23510116
73	17.20860189
74	17.17863342
75	17.16084422
76	17.13094058
77	17.10464291
78	17.07397048
79	17.05435003
80	17.03065107
81	17.00944439
82	16.98475922
83	16.96011352
84	16.93579776
85	16.91313884
86	16.89460223
87	16.8734445
88	16.85230665
89	16.8335632
90	16.81375906
91	16.79444736
92	16.77562512
93	16.75565681
94	16.73565575
95	16.7159824
96	16.69709054
97	16.67232286
98	16.65399523
99	16.6301034
100	16.61473632
101	16.59574633
102	16.5813777
103	16.56545171
104	16.5495592
105	16.53153363
106	16.51733914
107	16.50175269
108	16.48848798
109	16.4746228
110	16.45634485
111	16.43978955
112	16.42477901
113	16.41310078
114	16.39789443
115	16.38129418
116	16.36624865
117	16.35593893
118	16.34219945
119	16.32531507
120	16.31287389
121	16.29882554
122	16.28874745
123	16.27201624
124	16.25503086
125	16.24471824
126	16.23639807
127	16.22210332
128	16.20660472
129	16.19151213
130	16.17946028
131	16.16855352
132	16.15665895
133	16.14687908
134	16.13316208
135	16.11716212
136	16.1023509
137	16.08672959
138	16.07148357
139	16.05856207
140	16.04913856
141	16.03479317
142	16.01965213
143	16.0097316
144	15.99830563
145	15.98498876
146	15.97273011
147	15.96471999
148	15.95327179
149	15.94188592
150	15.92622264
151	15.91752092
152	15.90225406
153	15.89352652
154	15.88469312
155	15.87527358
156	15.86743399
157	15.86071515
158	15.85020095
159	15.84202659
160	15.82961109
161	15.81823233
162	15.80517107
163	15.79308449
164	15.77778144
165	15.77049076
166	15.75263839
167	15.74398706
168	15.7364545
169	15.72991172
170	15.72070066
171	15.71422771
172	15.70589234
173	15.69872365
174	15.69086524
175	15.67899706
176	15.66565616
177	15.65458233
178	15.64780512
179	15.6412459
180	15.63566254
181	15.62496181
182	15.61486812
183	15.60354864
184	15.59452269
185	15.58699609
186	15.57847444
187	15.56665646
188	15.55952796
189	15.55114558
190	15.54023279
191	15.53365373
192	15.52324976
193	15.51244781
194	15.50746345
195	15.50008678
196	15.49558523
197	15.48646121
198	15.4738676
199	15.46657978
200	15.45991806
201	15.44848653
202	15.44277823
203	15.43153325
204	15.42331039
205	15.41831771
206	15.41407102
207	15.40548054
208	15.39752992
209	15.38910517
210	15.37927084
211	15.3685698
212	15.36388281
213	15.35818153
214	15.34903856
215	15.34351124
216	15.3361168
217	15.32963867
218	15.32493858
219	15.31817022
220	15.3093807
221	15.29800127
222	15.28955125
223	15.28449495
224	15.27835279
225	15.2713767
226	15.26113877
227	15.24871142
228	15.23975202
229	15.23179676
230	15.22320626
231	15.21505403
232	15.20511199
233	15.19315298
234	15.18506105
235	15.1803183
236	15.17020253
237	15.16480293
238	15.16084165
239	15.15104858
240	15.14355022
241	15.13882039
242	15.13132992
243	15.12589015
244	15.11592104
245	15.10326908
246	15.09577671
247	15.08959761
248	15.08643964
249	15.07828685
250	15.07285922
251	15.06450865
252	15.05903215
253	15.0464279
254	15.04004037
255	15.03223347
256	15.01805828
257	15.01299418
258	15.00800214
259	15.00142599
260	14.99359653
261	14.98993014
262	14.98045101
263	14.97536634
264	14.96919017
265	14.95554351
266	14.94929701
267	14.94368439
268	14.94072879
269	14.93284838
270	14.92605813
271	14.91897288
272	14.91072741
273	14.90404003
274	14.89915241
275	14.89182126
276	14.88729054
277	14.87968447
278	14.87067605
279	14.86517526
280	14.85850476
281	14.85350976
282	14.84502007
283	14.83742196
284	14.83285758
285	14.823539
286	14.81506694
287	14.81039564
288	14.80616414
289	14.79913259
290	14.79574267
291	14.79257722
292	14.78597229
293	14.77847299
294	14.77065703
295	14.76733563
296	14.75793458
297	14.74795004
298	14.74135085
299	14.7350486
300	14.72653437
301	14.721361
302	14.71372662
303	14.70877267
