iter	RMSE
304	14.70290171
305	14.6966094
306	14.68892651
307	14.67877697
308	14.67318044
309	14.66578225
310	14.65880796
311	14.65135686
312	14.64235773
313	14.63658249
314	14.62901139
315	14.62151382
316	14.61872886
317	14.61173618
318	14.60400682
319	14.59987456
320	14.59352166
321	14.58767286
322	14.58161596
323	14.57665751
324	14.57086592
325	14.56474191
326	14.56046127
327	14.55353391
328	14.55045205
329	14.54489714
330	14.54016734
331	14.53569751
332	14.52981814
333	14.52169748
334	14.51325401
335	14.50993072
336	14.50341988
337	14.4964386
338	14.48815174
339	14.47986834
340	14.47478656
341	14.46674587
342	14.46114148
343	14.45154954
344	14.44244538
345	14.43577868
346	14.42966558
347	14.42299015
348	14.41803049
349	14.41131451
350	14.40685953
351	14.39900767
352	14.38989623
353	14.3829229
354	14.37663784
355	14.3700815
356	14.3641197
357	14.358189
358	14.35338082
359	14.34801721
360	14.34294464
361	14.33635485
362	14.3310412
363	14.32617215
364	14.32268432
365	14.3162796
366	14.31226282
367	14.30701268
368	14.29849382
369	14.29349116
370	14.28690587
371	14.27994997
372	14.27467696
373	14.26858447
374	14.26530309
375	14.26163318
376	14.25424607
377	14.24798529
378	14.24210049
379	14.2359659
380	14.22990673
381	14.22576869
382	14.22150812
383	14.21607265
384	14.21368419
385	14.20802481
386	14.20257638
387	14.19936863
388	14.19502256
389	14.18938818
390	14.1831808
391	14.17598099
392	14.16722968
393	14.15968423
394	14.15393835
395	14.15067754
396	14.14531677
397	14.14036579
398	14.13591402
399	14.12803236
400	14.12383864
401	14.11948736
402	14.1149537
403	14.10687657
404	14.09979002
405	14.09397621
406	14.08899277
407	14.08181665
408	14.07889964
409	14.07456347
410	14.06894492
411	14.06338358
412	14.05765628
413	14.05006876
414	14.04537206
415	14.03855295
416	14.0342843
417	14.02922961
418	14.02420576
419	14.01688679
420	14.01218928
421	14.00874879
422	14.00379493
423	13.99890921
424	13.99449526
425	13.98931118
426	13.98567077
427	13.98057779
428	13.97629216
429	13.97159256
430	13.9684528
431	13.96569646
432	13.96033978
433	13.95539407
434	13.94986625
435	13.94405757
436	13.93970026
437	13.93566044
438	13.92892236
439	13.92386567
440	13.91940551
441	13.9135997
442	13.90780885
443	13.90109657
444	13.89713342
445	13.89155808
446	13.88912156
447	13.88304582
448	13.87806884
449	13.87153112
450	13.86565489
451	13.86051003
452	13.85687808
453	13.85120216
454	13.84512395
455	13.83854971
456	13.83470382
457	13.83043664
458	13.82585262
459	13.82198561
460	13.81771627
461	13.81190462
462	13.80596763
463	13.80135059
464	13.79607121
465	13.79222802
466	13.78966277
467	13.78518006
468	13.78281173
469	13.77742685
470	13.77303277
471	13.76667872
472	13.76173636
473	13.75788106
474	13.75353343
475	13.74880877
476	13.74374434
477	13.7402284
478	13.73336946
479	13.72851544
480	13.72443937
481	13.72275345
482	13.71964775
483	13.71709481
484	13.71170412
485	13.7070022
486	13.70351358
487	13.69783025
488	13.69346889
489	13.68849449
490	13.68528003
491	13.68017375
492	13.67555131
493	13.67099359
494	13.66657088
495	13.66253628
496	13.66005615
497	13.65499552
498	13.65168747
499	13.64916424
500	13.64618433
501	13.64265447
502	13.6369296
503	13.63186535
504	13.62791109
505	13.62354148
506	13.61904793
507	13.61680318
508	13.6130617
509	13.60784011
510	13.60416336
511	13.59934991
512	13.5960868
513	13.59402647
514	13.58990313
515	13.58577864
516	13.58253932
517	13.57887994
518	13.57657834
519	13.5726623
520	13.56939737
521	13.56454025
522	13.56260411
523	13.56021769
524	13.55627829
525	13.55169488
526	13.54790753
527	13.5443727
528	13.54175775
529	13.53695853
530	13.53372384
531	13.52981572
532	13.52611212
533	13.52234424
534	13.51867067
535	13.51181492
536	13.5074522
537	13.50323627
538	13.50071923
539	13.49548901
540	13.49079469
541	13.48682964
542	13.48359223
543	13.48037518
544	13.47799052
545	13.47339272
546	13.46983724
547	13.46653646
548	13.46295632
549	13.45837147
550	13.45430322
551	13.45048461
552	13.44787509
553	13.44506653
554	13.44100157
555	13.43791231
556	13.4351333
557	13.43074691
558	13.42796426
559	13.42480472
560	13.42012693
561	13.41804503
562	13.41408702
563	13.41035026
564	13.40603902
565	13.40173948
566	13.39866103
567	13.39531392
568	13.39058581
569	13.38667187
570	13.38352851
571	13.3789198
572	13.37439635
573	13.36917984
574	13.36202951
575	13.35874411
576	13.35622998
577	13.35218101
578	13.34889609
579	13.34196167
580	13.33927403
581	13.33581729
582	13.33219934
583	13.32877495
584	13.32557408
585	13.32269252
586	13.31684755
587	13.31383738
588	13.31163005
589	13.3094336
590	13.30514427
591	13.302701
592	13.29947705
593	13.29334398
594	13.29137298
595	13.28931456
596	13.28686585
597	13.28419496
598	13.2810493
599	13.27795195
600	13.27411239
601	13.27090754
602	13.26651111
603	13.26402489
604	13.26049242
605	13.25744885
606	13.25193083
607	13.24667461
608	13.24358009
609	13.23949705
610	13.23742373
611	13.23431841
612	13.23093877
613	13.22633168
614	13.2230071
615	13.22087479
616	13.21686222
617	13.21250687
618	13.20997563
619	13.20429846
620	13.20148241
621	13.19778034
622	13.19435481
623	13.19090441
624	13.18791628
625	13.18478672
626	13.18112792
627	13.17728325
628	13.17417854
629	13.1707788
630	13.1668265
631	13.16360799
632	13.16017263
633	13.15651784
634	13.15280084
635	13.15067864
636	13.14741496
637	13.14259309
638	13.13978499
639	13.13699683
640	13.13468208
641	13.13257538
642	13.13008633
643	13.12733988
644	13.12537264
645	13.12181456
646	13.120148
647	13.11565848
648	13.11233308
649	13.10795742
650	13.10471071
651	13.10219425
652	13.09967863
653	13.09801326
654	13.0950616
655	13.09110011
656	13.08924749
657	13.08502799
658	13.08053188
659	13.07813042
660	13.07537482
661	13.07166389
662	13.06920095
663	13.06576262
664	13.06235151
665	13.05933201
666	13.05766026
667	13.05276647
668	13.04978515
669	13.04669824
670	13.04372676
671	13.04249287
672	13.03873537
673	13.03601425
674	13.0329448
675	13.0298539
676	13.02726208
677	13.02545545
678	13.02207578
679	13.01978769
680	13.0172638
681	13.01456177
682	13.01044593
683	13.00828803
684	13.00418149
685	13.00090369
686	12.99674801
687	12.99287344
688	12.9909096
689	12.98664619
690	12.98384334
691	12.98016929
692	12.97743136
693	12.97404688
694	12.97031532
695	12.96654888
696	12.96258068
697	12.96099628
698	12.95715015
699	12.95404219
700	12.95189121
701	12.94912396
702	12.946098
703	12.94256725
704	12.93933172
705	12.93600123
706	12.93200861
707	12.92838073
708	12.92498518
709	12.92130529
710	12.91768408
711	12.91452836
712	12.90958717
713	12.9056351
714	12.90165036
715	12.89784851
716	12.89570639
717	12.89233947
718	12.88873323
719	12.88433754
720	12.88098668
721	12.87838347
722	12.874003
723	12.87063206
724	12.86726814
725	12.86364562
726	12.86125781
727	12.85662884
728	12.85281271
729	12.85046458
730	12.84696202
731	12.84387546
732	12.84168595
733	12.83915627
734	12.83572357
735	12.83256353
736	12.82919647
737	12.82589647
738	12.82342135
739	12.82064266
740	12.8173576
741	12.8118965
742	12.80963174
743	12.80617132
744	12.803563
745	12.80059952
746	12.79900764
747	12.7959586
748	12.79286439
749	12.7900169
750	12.78744855
751	12.78495023
752	12.78296957
753	12.7795189
754	12.77763587
755	12.77439534
756	12.77198495
757	12.76902686
758	12.76639312
759	12.76377089
760	12.75919936
761	12.75559339
762	12.7522462
763	12.7486934
764	12.74557448
765	12.74303684
766	12.73871583
767	12.73424306
768	12.73056164
769	12.72803031
770	12.7247341
771	12.71955323
772	12.71650098
773	12.71303263
774	12.70895127
775	12.70571193
776	12.70335884
777	12.70088308
778	12.69922162
779	12.69610625
780	12.69249491
781	12.68971241
782	12.68721722
783	12.68425882
784	12.68262242
785	12.67966637
786	12.67648927
787	12.67376484
788	12.67061787
789	12.6677166
790	12.66487214
791	12.6615319
792	12.65871721
793	12.65554473
794	12.65411421
795	12.65059666
796	12.64805127
797	12.64593136
798	12.64285394
799	12.64070829
